,question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
15,Explain the step-by-step mechanism of Modal Verbs.,English,Modal Verbs,68.9,0.67,1700.0,1139.0,13.0,Evaluate,Hard
16,Solve a comprehensive problem involving the core principles of Forensics.,Chemistry,Forensics,42.57,0.4,392.0,156.0,20.0,Create,Medium
17,Predict the future trends of Plate Tectonics over the next decade.,Geography,Plate Tectonics,54.99,0.52,2215.0,1151.0,19.0,Create,Moderate
18,Solve a comprehensive problem involving the core principles of Health and Diseases.,Science,Health and Diseases,32.99,0.34,2689.0,914.0,6.0,Understand,Hard
19,Compare and contrast the primary theories of Indian Rocks.,Geography,Indian Rocks,45.26,0.49,402.0,196.0,15.0,Evaluate,Hard
20,Solve a comprehensive problem involving the core principles of General Chemistry.,Science,General Chemistry,64.57,0.65,859.0,558.0,11.0,Analyze,Moderate
21,Identify the three most critical components of Viruses.,Biology,Viruses,96.6,0.92,596.0,548.0,10.0,Evaluate,Hard
22,Summarize the key experimental findings related to Hess's law.,Chemistry,Hess's law,29.2,0.26,1687.0,438.0,4.0,Remember,Medium
23,Examine the cross-disciplinary applications of Universe and Solar System in other fields.,Geography,Universe and Solar System,80.92,0.84,556.0,467.0,15.0,Create,Moderate
24,Analyze the relationship between Globalization history and the wider History field.,History,Globalization history,89.37,0.94,582.0,547.0,6.0,Evaluate,Medium
25,Evaluate the impact of Speciation on society today.,Biology,Speciation,79.08,0.75,1724.0,1293.0,4.0,Understand,Moderate
26,Draft a detailed overview of the mathematical foundations of Le Chatelier's principle.,Chemistry,Le Chatelier's principle,21.18,0.2,1568.0,313.0,4.0,Create,Hard
27,Identify the three most critical components of Semiconductors.,Physics,Semiconductors,68.62,0.67,365.0,244.0,14.0,Create,Easy
28,What are the most common misconceptions about Endocrinology?,Biology,Endocrinology,92.65,0.91,2100.0,1911.0,1.0,Understand,Hard
29,Identify the three most critical components of Semiconductors. - Perspective 132,Physics,Semiconductors,100.0,0.98,1206.0,1181.0,4.0,Apply,Easy
30,How has the understanding of Machine Learning evolved since the 20th century?,Computer Science,Machine Learning,81.52,0.8,213.0,170.0,7.0,Understand,Moderate
31,Critique a major study or paper regarding Blood.,Biology,Blood,83.48,0.85,980.0,833.0,8.0,Create,Medium
32,Explain the step-by-step mechanism of Hess's law.,Chemistry,Hess's law,24.04,0.24,618.0,148.0,14.0,Remember,Hard
33,Draft a detailed overview of the mathematical foundations of General Biology.,Science,General Biology,39.51,0.44,2153.0,947.0,1.0,Create,Medium
34,Solve a comprehensive problem involving the core principles of Financial Crisis.,Economics,Financial Crisis,41.89,0.38,2542.0,965.0,18.0,Apply,Easy
35,Solve a comprehensive problem involving the core principles of Globalization Impact.,Social Science,Globalization Impact,61.9,0.62,544.0,337.0,7.0,Create,Moderate
36,Outline the historical development of Structure of Atom concepts.,Chemistry,Structure of Atom,16.75,0.2,110.0,22.0,13.0,Evaluate,Medium
37,Explain the step-by-step mechanism of Civics.,Social Science,Civics,92.83,0.95,1909.0,1813.0,11.0,Evaluate,Medium
38,Compare and contrast the primary theories of Gene expression.,Biology,Gene expression,40.91,0.37,1403.0,519.0,15.0,Create,Hard
39,Analyze the relationship between Atomic physics and the wider Physics field.,Physics,Atomic physics,90.7,0.95,148.0,140.0,14.0,Create,Medium
40,Solve a comprehensive problem involving the core principles of Binary Search Trees.,Computer Science,Binary Search Trees,59.71,0.62,336.0,208.0,11.0,Create,Hard
41,Propose a solution to a common challenge in Chemical Kinetics.,Chemistry,Chemical Kinetics,58.53,0.63,1632.0,1028.0,12.0,Evaluate,Medium
42,Discuss the ethical challenges associated with Consumer Behavior.,Economics,Consumer Behavior,73.28,0.72,708.0,509.0,16.0,Understand,Easy
43,Discuss the ethical challenges associated with Algebra.,Maths,Algebra,36.76,0.34,2675.0,909.0,16.0,Apply,Easy
44,Analyze the relationship between Health and Diseases and the wider Science field.,Science,Health and Diseases,25.05,0.27,2697.0,728.0,4.0,Evaluate,Easy
45,Analyze the relationship between Opportunity Cost and the wider Economics field.,Economics,Opportunity Cost,8.04,0.13,1435.0,186.0,19.0,Create,Hard
46,Critique a major study or paper regarding Rocket car physics.,Physics,Rocket car physics,66.18,0.69,1243.0,857.0,1.0,Evaluate,Easy
47,Solve a comprehensive problem involving the core principles of Molar mass.,Chemistry,Molar mass,51.24,0.51,742.0,378.0,8.0,Evaluate,Hard
48,Summarize the key experimental findings related to Ancient Greece.,History,Ancient Greece,23.51,0.25,2847.0,711.0,20.0,Remember,Easy
49,Compare and contrast the primary theories of Determiners.,English,Determiners,78.0,0.77,2438.0,1877.0,7.0,Evaluate,Medium
50,Analyze the relationship between Inflation and the wider Economics field.,Economics,Inflation,39.52,0.43,613.0,263.0,7.0,Understand,Moderate
51,What is the significance of 3D Geometry in modern Mathematics research?,Mathematics,3D Geometry,28.26,0.3,2140.0,642.0,18.0,Analyze,Easy
52,What are the most common misconceptions about Gravitational potential?,Physics,Gravitational potential,87.88,0.9,355.0,319.0,12.0,Remember,Moderate
53,Propose a solution to a common challenge in Elasticity.,Physics,Elasticity,12.59,0.11,1435.0,157.0,14.0,Remember,Easy
54,Describe a real-world application of Graph theory in industry or daily life.,Mathematics,Graph theory,21.09,0.19,2697.0,512.0,12.0,Apply,Hard
55,Outline the historical development of Molar mass concepts.,Chemistry,Molar mass,40.53,0.44,502.0,220.0,11.0,Evaluate,Medium
56,How has the understanding of Linear Programming evolved since the 20th century?,Mathematics,Linear Programming,93.19,0.91,2349.0,2137.0,10.0,Understand,Moderate
57,Analyze the relationship between Biofertilizers and the wider Biology field.,Biology,Biofertilizers,39.91,0.38,461.0,175.0,6.0,Evaluate,Moderate
58,Solve a comprehensive problem involving the core principles of Algebra.,Maths,Algebra,57.79,0.62,1638.0,1015.0,8.0,Create,Moderate
59,Draft a detailed overview of the mathematical foundations of Sociology.,Social Science,Sociology,30.69,0.34,2089.0,710.0,3.0,Analyze,Easy
60,Predict the future trends of Cosmology over the next decade.,Physics,Cosmology,12.77,0.16,1182.0,189.0,16.0,Analyze,Easy
61,What is the significance of Independence movements in modern History research?,History,Independence movements,11.17,0.16,2775.0,444.0,14.0,Evaluate,Easy
62,How has the understanding of Space Exploration evolved since the 20th century?,Science,Space Exploration,30.82,0.29,2105.0,610.0,5.0,Evaluate,Hard
63,Discuss the ethical challenges associated with Bohr Model.,Physics,Bohr Model,19.52,0.21,2274.0,477.0,19.0,Understand,Hard
64,Discuss the ethical challenges associated with Probability.,Maths,Probability,84.83,0.8,804.0,643.0,10.0,Evaluate,Easy
65,Critique a major study or paper regarding Algebra.,Maths,Algebra,47.22,0.5,2992.0,1496.0,15.0,Apply,Medium
66,What is the significance of Graph Algorithms in modern Computer Science research?,Computer Science,Graph Algorithms,61.56,0.63,2813.0,1772.0,1.0,Remember,Hard
67,Predict the future trends of Probability over the next decade.,Maths,Probability,20.47,0.16,374.0,59.0,14.0,Understand,Hard
68,Critique a major study or paper regarding The Crusades.,History,The Crusades,67.33,0.68,1344.0,913.0,18.0,Apply,Easy
69,Evaluate the impact of Income Inequality on society today.,Economics,Income Inequality,41.83,0.37,2111.0,781.0,5.0,Analyze,Easy
70,Solve a comprehensive problem involving the core principles of Data Representation.,Computer Science,Data Representation,38.39,0.43,2580.0,1109.0,5.0,Apply,Hard
71,What role does Trigonometry play in the advancement of Mathematics technology?,Mathematics,Trigonometry,9.93,0.11,1956.0,215.0,14.0,Apply,Moderate
72,What are the most common misconceptions about VSEPR theory?,Chemistry,VSEPR theory,51.83,0.48,1259.0,604.0,11.0,Apply,Hard
73,Compare and contrast the primary theories of Plate Tectonics.,Geography,Plate Tectonics,18.92,0.16,2435.0,389.0,7.0,Analyze,Medium
74,Describe a real-world application of Independence movements in industry or daily life.,History,Independence movements,74.28,0.79,1633.0,1290.0,1.0,Analyze,Hard
75,Discuss the ethical challenges associated with Taxation.,Economics,Taxation,36.25,0.39,2775.0,1082.0,14.0,Create,Medium
76,Summarize the key experimental findings related to Green Chemistry.,Chemistry,Green Chemistry,79.84,0.76,2290.0,1740.0,17.0,Understand,Moderate
77,What are the most common misconceptions about Volcanoes?,Geography,Volcanoes,70.35,0.74,2962.0,2191.0,12.0,Analyze,Hard
78,Predict the future trends of Le Chatelier's principle over the next decade.,Chemistry,Le Chatelier's principle,50.58,0.48,2416.0,1159.0,16.0,Evaluate,Moderate
79,How does Quantum mechanics affect the global economy or environment?,Physics,Quantum mechanics,81.63,0.84,2710.0,2276.0,19.0,Apply,Moderate
80,Describe a real-world application of Industrial Regions in industry or daily life.,Geography,Industrial Regions,33.58,0.32,108.0,34.0,6.0,Analyze,Medium
81,Solve a comprehensive problem involving the core principles of Tenses.,English,Tenses,68.14,0.71,1250.0,887.0,8.0,Apply,Medium
82,Explain the step-by-step mechanism of Antibiotics.,Chemistry,Antibiotics,31.51,0.35,1296.0,453.0,9.0,Understand,Moderate
83,Identify the three most critical components of Behavioral Economics.,Economics,Behavioral Economics,30.1,0.31,1405.0,435.0,1.0,Understand,Moderate
84,Evaluate the impact of Polynomials on society today.,Mathematics,Polynomials,13.93,0.15,2702.0,405.0,14.0,Remember,Moderate
85,Discuss the ethical challenges associated with Constitutional Law.,Social Science,Constitutional Law,77.41,0.82,1947.0,1596.0,14.0,Understand,Moderate
86,Draft a detailed overview of the mathematical foundations of Functional Programming.,Computer Science,Functional Programming,7.69,0.1,755.0,75.0,10.0,Apply,Hard
87,Critique a major study or paper regarding Structure of Atom.,Chemistry,Structure of Atom,16.59,0.15,2688.0,403.0,14.0,Create,Medium
88,Discuss the ethical challenges associated with Public Policy.,Social Science,Public Policy,83.89,0.81,2433.0,1970.0,8.0,Apply,Moderate
89,What is the significance of Human Rights in modern Social Science research?,Social Science,Human Rights,85.43,0.83,753.0,624.0,19.0,Evaluate,Hard
90,How does Bohr Model affect the global economy or environment?,Physics,Bohr Model,6.31,0.11,740.0,81.0,9.0,Analyze,Medium
91,Solve a comprehensive problem involving the core principles of Biofertilizers.,Biology,Biofertilizers,43.56,0.47,2648.0,1244.0,20.0,Apply,Hard
92,Explain the step-by-step mechanism of Quantum numbers.,Chemistry,Quantum numbers,52.91,0.53,1058.0,560.0,15.0,Remember,Medium
93,Analyze the relationship between Roman Empire and the wider History field.,History,Roman Empire,27.0,0.23,1375.0,316.0,15.0,Understand,Medium
94,Analyze the relationship between Heap Data Structure and the wider Computer Science field.,Computer Science,Heap Data Structure,23.22,0.2,2176.0,435.0,1.0,Analyze,Medium
95,How has the understanding of Renaissance evolved since the 20th century?,History,Renaissance,56.74,0.53,2856.0,1513.0,17.0,Create,Easy
96,Identify the three most critical components of Periodic Classification.,Chemistry,Periodic Classification,67.26,0.63,948.0,597.0,2.0,Evaluate,Easy
97,Solve a comprehensive problem involving the core principles of Phrasal Verbs.,English,Phrasal Verbs,68.54,0.68,755.0,513.0,13.0,Apply,Medium
98,Summarize the key experimental findings related to Algorithms.,Computer Science,Algorithms,47.98,0.49,1694.0,830.0,3.0,Create,Easy
99,Compare and contrast the primary theories of Adverbs.,English,Adverbs,22.57,0.22,1132.0,249.0,18.0,Analyze,Hard
100,How does General Physics affect the global economy or environment?,Science,General Physics,12.48,0.11,1227.0,134.0,2.0,Understand,Medium
101,Evaluate the impact of Scalar and Vector on society today.,Physics,Scalar and Vector,72.0,0.7,1404.0,982.0,20.0,Create,Medium
102,Outline the historical development of SQL Joins concepts.,Computer Science,SQL Joins,15.59,0.16,2102.0,336.0,2.0,Analyze,Hard
103,Discuss the ethical challenges associated with Gender Equality.,Social Science,Gender Equality,14.49,0.14,1721.0,240.0,18.0,Understand,Medium
104,How has the understanding of Light ray evolved since the 20th century?,Physics,Light ray,80.74,0.85,2837.0,2411.0,10.0,Understand,Easy
105,Summarize the key experimental findings related to Cryptography.,Mathematics,Cryptography,53.67,0.57,2743.0,1563.0,17.0,Analyze,Hard
106,Compare and contrast the primary theories of Binary Search Trees.,Computer Science,Binary Search Trees,68.75,0.68,432.0,293.0,8.0,Evaluate,Moderate
107,How has the understanding of Integrals evolved since the 20th century?,Mathematics,Integrals,78.75,0.77,938.0,722.0,10.0,Create,Medium
108,Summarize the key experimental findings related to Evolution.,Biology,Evolution,23.95,0.21,1137.0,238.0,12.0,Analyze,Easy
109,Summarize the key experimental findings related to Blood.,Biology,Blood,20.11,0.25,1709.0,427.0,14.0,Apply,Hard
110,Predict the future trends of General Chemistry over the next decade.,Science,General Chemistry,52.46,0.49,409.0,200.0,16.0,Evaluate,Moderate
111,Compare and contrast the primary theories of Discrete Mathematics.,Computer Science,Discrete Mathematics,57.59,0.53,1494.0,791.0,4.0,Remember,Hard
112,Critique a major study or paper regarding Middle Ages.,History,Middle Ages,16.32,0.14,2001.0,280.0,16.0,Evaluate,Easy
113,How does Petrochemicals affect the global economy or environment?,Chemistry,Petrochemicals,55.03,0.58,2542.0,1474.0,15.0,Create,Easy
114,Describe a real-world application of Electrochemistry in industry or daily life.,Chemistry,Electrochemistry,16.13,0.17,182.0,30.0,19.0,Evaluate,Medium
115,Examine the cross-disciplinary applications of Robotic Systems in other fields.,Computer Science,Robotic Systems,51.13,0.56,1616.0,904.0,4.0,Create,Moderate
116,What is the significance of Conditionals in modern English research?,English,Conditionals,91.1,0.87,476.0,414.0,12.0,Analyze,Moderate
117,Solve a comprehensive problem involving the core principles of Phrasal Verbs. - Perspective 635,English,Phrasal Verbs,37.96,0.41,409.0,167.0,2.0,Evaluate,Moderate
118,What are the most common misconceptions about Human Geography?,Geography,Human Geography,64.62,0.62,723.0,448.0,15.0,Understand,Moderate
119,Draft a detailed overview of the mathematical foundations of Public Debt.,Economics,Public Debt,36.63,0.33,2760.0,910.0,1.0,Evaluate,Moderate
120,Discuss the ethical challenges associated with World War II.,History,World War II,57.29,0.55,689.0,378.0,12.0,Apply,Hard
121,Critique a major study or paper regarding Computer Networks.,Computer Science,Computer Networks,77.88,0.76,1775.0,1349.0,5.0,Analyze,Hard
122,Critique a major study or paper regarding Anthropology.,Social Science,Anthropology,10.49,0.13,2177.0,283.0,3.0,Create,Hard
123,How has the understanding of Human Rights evolved since the 20th century?,Social Science,Human Rights,20.39,0.25,598.0,149.0,2.0,Create,Medium
124,Solve a comprehensive problem involving the core principles of Stem cell research.,Biology,Stem cell research,16.81,0.12,1660.0,199.0,7.0,Understand,Hard
125,What role does Renewable Energy play in the advancement of Geography technology?,Geography,Renewable Energy,11.06,0.16,721.0,115.0,2.0,Understand,Hard
126,Predict the future trends of International Trade over the next decade.,Economics,International Trade,77.87,0.77,982.0,756.0,8.0,Create,Hard
127,Outline the historical development of Statistics concepts.,Maths,Statistics,20.61,0.2,996.0,199.0,11.0,Analyze,Medium
128,Describe a real-world application of Fluid Mechanics in industry or daily life.,Physics,Fluid Mechanics,22.37,0.2,1062.0,212.0,3.0,Analyze,Moderate
129,Summarize the key experimental findings related to Central Banking.,Economics,Central Banking,82.86,0.79,2763.0,2182.0,14.0,Create,Medium
130,Critique a major study or paper regarding Consumer Behavior.,Economics,Consumer Behavior,26.95,0.28,2990.0,837.0,1.0,Evaluate,Hard
131,Predict the future trends of Magna Carta over the next decade.,History,Magna Carta,34.71,0.36,568.0,204.0,6.0,Evaluate,Easy
132,Identify the three most critical components of Green Chemistry.,Chemistry,Green Chemistry,39.08,0.35,900.0,315.0,8.0,Analyze,Easy
133,Summarize the key experimental findings related to Algebra.,Maths,Algebra,58.55,0.56,819.0,458.0,5.0,Create,Medium
134,Discuss the ethical challenges associated with Algebra. - Perspective 633,Mathematics,Algebra,29.83,0.27,2015.0,544.0,7.0,Apply,Medium
135,Explain the step-by-step mechanism of Kinematics.,Physics,Kinematics,67.91,0.65,1014.0,659.0,17.0,Analyze,Hard
136,What are the most common misconceptions about Ecology?,Science,Ecology,15.57,0.16,612.0,97.0,14.0,Remember,Medium
137,How has the understanding of Nouns evolved since the 20th century?,English,Nouns,39.92,0.41,838.0,343.0,10.0,Apply,Hard
138,Examine the cross-disciplinary applications of Ecology in other fields.,Science,Ecology,90.4,0.86,2831.0,2434.0,8.0,Remember,Medium
139,What is the significance of Linear Programming in modern Mathematics research?,Mathematics,Linear Programming,89.3,0.92,1221.0,1123.0,18.0,Understand,Moderate
140,Critique a major study or paper regarding Landforms.,Geography,Landforms,90.54,0.92,1463.0,1345.0,10.0,Understand,Hard
141,Describe a real-world application of Soil Profile in industry or daily life.,Biology,Soil Profile,78.57,0.82,173.0,141.0,5.0,Evaluate,Moderate
142,Evaluate the impact of Combinatorics on society today.,Mathematics,Combinatorics,59.16,0.56,1987.0,1112.0,20.0,Remember,Moderate
143,Critique a major study or paper regarding Hooke's law.,Physics,Hooke's law,27.52,0.23,2622.0,603.0,18.0,Analyze,Medium
144,What role does Civics play in the advancement of Social Science technology?,Social Science,Civics,35.2,0.38,142.0,53.0,18.0,Remember,Easy
145,Identify the three most critical components of Phrasal Verbs.,English,Phrasal Verbs,64.68,0.69,369.0,254.0,12.0,Analyze,Moderate
146,Examine the cross-disciplinary applications of Oceanography in other fields.,Geography,Oceanography,42.09,0.44,2098.0,923.0,16.0,Evaluate,Medium
147,Evaluate the impact of Probability on society today.,Maths,Probability,43.87,0.39,1585.0,618.0,2.0,Analyze,Easy
148,Compare and contrast the primary theories of Groundwater depletion.,Geography,Groundwater depletion,66.23,0.64,1673.0,1070.0,18.0,Understand,Easy
149,Outline the historical development of Atomic physics concepts.,Physics,Atomic physics,49.41,0.5,1425.0,712.0,16.0,Evaluate,Moderate
150,Predict the future trends of Rocket car physics over the next decade.,Physics,Rocket car physics,66.71,0.71,2510.0,1782.0,12.0,Apply,Moderate
151,Compare and contrast the primary theories of Silk Road.,History,Silk Road,11.91,0.13,982.0,127.0,6.0,Apply,Hard
152,Evaluate the impact of Statistics on society today.,Maths,Statistics,53.07,0.53,2102.0,1114.0,3.0,Apply,Hard
153,Identify the three most critical components of Cybersecurity.,Computer Science,Cybersecurity,54.45,0.54,113.0,61.0,1.0,Apply,Moderate
154,Outline the historical development of Urbanization concepts.,Geography,Urbanization,62.88,0.65,2045.0,1329.0,2.0,Apply,Easy
155,What role does Soil erosion play in the advancement of Geography technology?,Geography,Soil erosion,90.54,0.95,2843.0,2700.0,4.0,Understand,Easy
156,Evaluate the impact of Harmonic oscillator on society today.,Physics,Harmonic oscillator,84.83,0.89,2066.0,1838.0,18.0,Remember,Moderate
157,What role does Lipids and Fats play in the advancement of Chemistry technology?,Chemistry,Lipids and Fats,53.59,0.52,2596.0,1349.0,2.0,Analyze,Moderate
158,Examine the cross-disciplinary applications of Ecology in other fields. - Perspective 550,Science,Ecology,53.88,0.51,2878.0,1467.0,7.0,Analyze,Easy
159,Evaluate the impact of Linear Programming on society today.,Mathematics,Linear Programming,69.39,0.69,857.0,591.0,8.0,Evaluate,Easy
160,Examine the cross-disciplinary applications of Chemical Kinetics in other fields.,Chemistry,Chemical Kinetics,13.07,0.13,2168.0,281.0,11.0,Understand,Moderate
161,Propose a solution to a common challenge in Microeconomics.,Economics,Microeconomics,51.73,0.49,1868.0,915.0,20.0,Evaluate,Hard
162,Propose a solution to a common challenge in Speciation.,Biology,Speciation,36.95,0.38,138.0,52.0,1.0,Analyze,Medium
163,Identify the three most critical components of Mendelian genetics.,Biology,Mendelian genetics,50.46,0.5,1783.0,891.0,17.0,Apply,Moderate
164,What are the most common misconceptions about Modern Poetry?,English,Modern Poetry,92.53,0.88,2971.0,2614.0,2.0,Evaluate,Hard
165,What are the most common misconceptions about PCR?,Biology,PCR,63.67,0.64,994.0,636.0,12.0,Remember,Hard
166,Compare and contrast the primary theories of Reproductive System.,Biology,Reproductive System,28.2,0.24,1048.0,251.0,8.0,Create,Medium
167,What are the most common misconceptions about Forensics?,Chemistry,Forensics,25.51,0.24,92.0,22.0,9.0,Remember,Easy
168,Identify the three most critical components of Public Debt.,Economics,Public Debt,94.4,0.96,568.0,545.0,1.0,Create,Moderate
169,Outline the historical development of Energy Sources concepts.,Science,Energy Sources,62.77,0.6,1532.0,919.0,9.0,Apply,Hard
170,Explain the step-by-step mechanism of Conditionals.,English,Conditionals,26.25,0.29,1373.0,398.0,20.0,Create,Moderate
171,Evaluate the impact of Environment on society today.,Science,Environment,45.66,0.42,1263.0,530.0,19.0,Evaluate,Medium
172,Outline the historical development of Universe and Solar System concepts.,Geography,Universe and Solar System,77.42,0.77,2034.0,1566.0,2.0,Evaluate,Easy
173,Analyze the relationship between Climate Change and the wider Geography field.,Geography,Climate Change,80.37,0.8,2469.0,1975.0,8.0,Understand,Hard
174,Solve a comprehensive problem involving the core principles of Integrals.,Mathematics,Integrals,90.73,0.89,395.0,351.0,15.0,Understand,Hard
175,What are the most common misconceptions about Plate Tectonics?,Geography,Plate Tectonics,30.77,0.26,1695.0,440.0,14.0,Evaluate,Moderate
176,Analyze the relationship between Fiscal Policy and the wider Economics field.,Economics,Fiscal Policy,61.75,0.58,354.0,205.0,12.0,Evaluate,Medium
177,What is the significance of Cell membrane transport in modern Biology research?,Biology,Cell membrane transport,78.51,0.82,1235.0,1012.0,20.0,Analyze,Hard
178,Explain the step-by-step mechanism of Gender Equality.,Social Science,Gender Equality,35.58,0.38,1506.0,572.0,8.0,Remember,Easy
179,Solve a comprehensive problem involving the core principles of Rotational motion.,Physics,Rotational motion,39.89,0.44,721.0,317.0,10.0,Evaluate,Hard
180,Identify the three most critical components of Material Science.,Science,Material Science,98.42,0.94,2855.0,2683.0,16.0,Remember,Moderate
181,How does Social Institutions affect the global economy or environment?,Social Science,Social Institutions,48.43,0.44,1893.0,832.0,1.0,Remember,Moderate
182,What is the significance of Ancient Egypt in modern History research?,History,Ancient Egypt,57.1,0.55,1332.0,732.0,13.0,Create,Hard
183,Identify the three most critical components of Atomic physics.,Physics,Atomic physics,82.67,0.83,864.0,717.0,18.0,Understand,Medium
184,What role does Environment play in the advancement of Science technology?,Science,Environment,81.18,0.81,2643.0,2140.0,17.0,Apply,Hard
185,Compare and contrast the primary theories of Idioms.,English,Idioms,51.15,0.56,352.0,197.0,14.0,Evaluate,Easy
186,Propose a solution to a common challenge in Social Movements.,Social Science,Social Movements,72.4,0.71,2602.0,1847.0,5.0,Analyze,Easy
187,Analyze the relationship between Urbanization and the wider Geography field.,Geography,Urbanization,89.73,0.92,898.0,826.0,13.0,Create,Moderate
188,Analyze the relationship between Statistics and the wider Maths field.,Maths,Statistics,80.06,0.82,364.0,298.0,8.0,Evaluate,Medium
189,Discuss the ethical challenges associated with Complex Sentences.,English,Complex Sentences,27.74,0.24,2534.0,608.0,13.0,Evaluate,Moderate
190,Identify the three most critical components of Optical Fibers.,Physics,Optical Fibers,86.65,0.91,2857.0,2599.0,15.0,Understand,Easy
191,Critique a major study or paper regarding Sentence Arrangement.,English,Sentence Arrangement,27.38,0.31,1772.0,549.0,1.0,Remember,Hard
192,Outline the historical development of World War I concepts.,History,World War I,37.85,0.39,2166.0,844.0,19.0,Evaluate,Hard
193,What is the significance of Cold War in modern History research?,History,Cold War,79.75,0.79,1598.0,1262.0,13.0,Analyze,Easy
194,Explain the step-by-step mechanism of Statistics.,Maths,Statistics,44.82,0.45,629.0,283.0,12.0,Understand,Easy
195,Solve a comprehensive problem involving the core principles of Heap Data Structure.,Computer Science,Heap Data Structure,13.41,0.11,2324.0,255.0,17.0,Remember,Medium
196,What is the significance of Calculus in modern Maths research?,Maths,Calculus,52.01,0.53,2341.0,1240.0,9.0,Apply,Hard
197,Compare and contrast the primary theories of Microeconomics.,Economics,Microeconomics,29.78,0.33,381.0,125.0,5.0,Remember,Easy
198,Discuss the ethical challenges associated with Blockchain.,Computer Science,Blockchain,89.38,0.94,268.0,251.0,12.0,Analyze,Hard
199,Solve a comprehensive problem involving the core principles of Lipids and Fats.,Chemistry,Lipids and Fats,23.19,0.24,2997.0,719.0,13.0,Evaluate,Easy
200,Explain the step-by-step mechanism of SI Units.,Physics,SI Units,65.7,0.67,1073.0,718.0,9.0,Analyze,Easy
201,Explain the step-by-step mechanism of Market Structures.,Economics,Market Structures,54.53,0.56,2142.0,1199.0,6.0,Analyze,Moderate
202,Compare and contrast the primary theories of Calculus.,Mathematics,Calculus,58.91,0.61,1970.0,1201.0,2.0,Remember,Easy
203,What role does Determiners play in the advancement of English technology?,English,Determiners,20.99,0.25,2439.0,609.0,1.0,Analyze,Moderate
204,What are the most common misconceptions about Industrial Regions?,Geography,Industrial Regions,55.69,0.56,1712.0,958.0,16.0,Create,Medium
205,How has the understanding of Central Banking evolved since the 20th century?,Economics,Central Banking,39.7,0.4,2810.0,1124.0,15.0,Apply,Easy
206,What is the significance of Age of Discovery in modern History research?,History,Age of Discovery,86.75,0.84,1521.0,1277.0,7.0,Analyze,Moderate
207,Identify the three most critical components of American Civil War.,History,American Civil War,52.24,0.49,2402.0,1176.0,19.0,Create,Medium
208,Examine the cross-disciplinary applications of Water Resources in other fields.,Geography,Water Resources,57.84,0.57,1663.0,947.0,16.0,Analyze,Easy
209,How has the understanding of Animal physiology evolved since the 20th century?,Biology,Animal physiology,76.46,0.75,1822.0,1366.0,7.0,Apply,Medium
210,Propose a solution to a common challenge in Viruses.,Biology,Viruses,36.47,0.36,1803.0,649.0,8.0,Evaluate,Medium
211,Explain the step-by-step mechanism of Heisenberg uncertainty principle.,Chemistry,Heisenberg uncertainty principle,14.68,0.11,1698.0,186.0,15.0,Remember,Moderate
212,Solve a comprehensive problem involving the core principles of Vikings.,History,Vikings,51.77,0.56,297.0,166.0,13.0,Evaluate,Easy
213,Draft a detailed overview of the mathematical foundations of Monsoons.,Geography,Monsoons,53.82,0.56,821.0,459.0,14.0,Apply,Hard
214,Draft a detailed overview of the mathematical foundations of Algebra.,Maths,Algebra,81.15,0.83,324.0,268.0,1.0,Understand,Easy
